recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,ID
146,436.392,24.971,21.75,0.23,0.744,0.234,20200.01
147,433.933,29.948,22.099,0.048,0.948,0.061,20200.02
148,431.392,30.877,22.818,0.033,0.901,0.093,20200.03
149,435.881,32.05,21.786,0.029,0.865,0.037,20200.04
150,429.482,29.005,22.898,0.085,0.731,0.097,20200.05
151,105.682,23.008,22.618,0.072,0.887,0.226,20202.0
152,108.194,26.625,22.221,0.07,0.853,0.155,20202.01
153,275.356,23.076,22.474,0.108,0.983,0.149,20205.0
154,490.848,22.669,22.599,0.062,1.099,0.07,20208.0
155,495.858,25.077,21.129,0.118,0.758,0.131,20208.01
156,491.707,26.137,22.198,0.035,0.887,0.037,20208.02
157,498.861,27.586,19.067,0.006,0.903,0.011,20208.03
158,504.489,29.882,20.779,0.012,0.727,0.035,20208.04
159,494.879,32.655,22.608,0.056,0.996,0.068,20208.05
160,495.781,26.593,21.27,0.093,0.723,0.253,20208.06
161,547.175,23.399,23.777,0.061,1.231,0.102,20209.0
162,550.997,25.698,21.124,0.031,0.83,0.041,20209.01
163,679.684,23.433,22.166,0.191,0.982,0.223,20211.0
164,705.945,22.464,21.034,0.021,0.747,0.041,20212.0
165,336.428,23.759,22.145,0.027,0.88,0.059,20214.0
166,512.38,24.368,24.345,0.169,1.237,0.248,20215.0
167,410.286,25.35,19.962,0.025,0.708,0.064,20216.0
168,407.348,29.923,23.64,0.142,1.201,0.179,20216.01
169,404.075,28.814,23.091,0.059,1.068,0.087,20216.02
170,452.237,24.823,24.643,0.184,1.397,0.244,20218.0
171,519.205,24.47,20.335,0.01,0.691,0.02,20220.0
172,521.276,30.383,22.555,0.051,0.993,0.272,20220.01
173,667.047,25.018,22.366,0.027,0.895,0.044,20221.0
174,56.395,25.994,24.625,0.313,1.283,0.32,20222.0
175,266.221,25.882,24.93,0.139,1.43,0.227,20225.0
176,279.949,30.29,20.737,0.02,0.706,0.032,20226.0
177,273.047,31.892,21.025,0.022,0.742,0.023,20226.01
178,269.803,35.218,21.331,0.012,0.764,0.028,20226.02
179,264.367,35.765,22.199,0.05,0.877,0.068,20226.03
180,281.454,26.043,23.175,0.055,1.124,0.068,20226.04
181,346.458,26.302,22.426,0.029,0.896,0.051,20228.0
182,81.53,27.239,23.891,0.142,1.229,0.156,20231.0
183,117.729,26.96,23.122,0.093,0.834,0.293,20233.0
184,358.961,26.938,23.681,0.076,1.156,0.088,20236.0
185,358.037,32.527,20.562,0.031,0.771,0.041,20236.01
186,360.047,33.672,23.832,0.2,1.864,0.225,20236.03
187,606.792,26.544,24.281,0.334,1.479,0.351,20239.0
188,187.311,28.084,24.477,0.224,1.549,0.246,20240.0
189,192.05,29.922,21.454,0.06,0.81,0.104,20240.01
190,195.979,28.256,19.305,0.021,0.697,0.035,20240.02
191,17.116,30.129,22.522,0.135,0.928,0.203,20242.01
192,14.093,33.017,22.271,0.084,0.815,0.151,20242.02
193,43.951,29.056,23.426,0.059,0.997,0.176,20243.0
194,68.881,28.759,23.991,0.161,1.38,0.204,20244.0
195,221.715,29.296,24.403,0.312,1.364,0.324,20246.0
196,323.042,28.905,21.856,0.034,0.848,0.049,20247.0
197,320.01,30.268,21.319,0.012,0.778,0.018,20247.01
198,645.397,28.639,23.136,0.057,1.034,0.084,20250.0
199,649.104,34.29,21.653,0.026,0.905,0.051,20250.03
200,7.417,30.038,22.41,0.15,0.924,0.203,20251.0
201,60.09,30.029,22.306,0.039,0.876,0.224,20253.0
202,88.984,30.334,22.922,0.085,0.996,0.09,20254.0
203,86.188,31.51,22.211,0.043,0.914,0.05,20254.01
204,135.405,29.646,24.581,0.167,1.214,0.193,20255.0
205,170.47,29.48,22.485,0.132,0.944,0.137,20256.0
206,258.466,29.988,23.097,0.043,0.984,0.065,20258.0
207,565.955,30.459,24.185,0.03,1.323,0.07,20265.01
208,563.805,34.832,20.072,0.014,0.701,0.022,20265.02
209,565.666,36.58,21.081,0.022,0.738,0.037,20265.03
210,33.407,30.761,21.203,0.019,0.702,0.108,20268.0
211,32.09,33.389,22.535,0.07,0.869,0.115,20268.01
212,95.483,30.955,23.454,0.107,1.196,0.133,20269.0
213,97.426,33.049,24.22,0.156,1.265,0.2,20269.01
214,93.163,34.783,22.492,0.043,1.051,0.054,20269.02
215,91.09,39.988,21.169,0.028,0.736,0.034,20269.03
216,85.188,42.256,22.301,0.06,0.886,0.065,20269.04
217,89.243,44.009,23.421,0.098,1.16,0.119,20269.05
218,84.886,38.296,24.227,0.15,1.343,0.18,20269.06
219,91.336,46.748,23.847,0.054,1.355,0.1,20269.07
220,113.727,30.699,24.6,0.167,1.341,0.218,20270.0
221,213.96,30.541,22.368,0.028,1.017,0.036,20271.01
222,233.107,30.49,21.435,0.022,0.783,0.048,20273.0
223,236.57,32.484,21.09,0.018,0.713,0.03,20273.02
224,239.632,35.305,23.142,0.092,0.993,0.095,20273.03
225,512.533,30.555,22.01,0.086,0.977,0.12,20275.0
226,663.234,30.481,21.35,0.03,0.749,0.043,20276.0
227,157.247,32.42,23.88,0.106,1.16,0.13,20278.0
228,160.505,33.586,23.745,0.128,1.426,0.215,20278.01
229,305.708,32.021,20.575,0.013,0.75,0.044,20282.0
230,556.361,32.154,21.137,0.024,0.753,0.039,20285.0
231,556.962,36.536,24.193,0.13,1.113,0.162,20285.01
232,626.675,31.958,20.483,0.013,0.692,0.031,20286.0
233,626.971,35.223,23.968,0.177,1.28,0.203,20286.01
234,630.625,35.697,24.138,0.1,1.38,0.187,20286.02
235,634.169,40.786,21.902,0.062,0.868,0.071,20286.03
236,639.953,42.325,22.96,0.076,1.084,0.093,20286.04
237,630.561,45.538,21.577,0.045,0.808,0.047,20286.05
238,635.386,46.306,23.193,0.088,1.138,0.11,20286.06
239,644.376,42.044,22.653,0.083,1.036,0.09,20286.07
240,628.994,49.413,22.35,0.05,0.91,0.055,20286.08
241,635.405,35.555,19.2,0.008,0.917,0.027,20286.09
242,638.401,35.071,22.204,0.134,1.021,0.226,20286.1
243,634.77,33.718,20.886,0.061,0.823,0.106,20286.11
244,711.948,31.853,23.742,0.124,1.292,0.143,20289.0
245,143.234,32.506,20.238,0.022,0.709,0.026,20293.0
246,144.483,37.987,22.838,0.035,0.962,0.068,20293.01
247,340.853,32.664,22.072,0.016,0.862,0.033,20296.0
248,336.067,34.055,24.751,0.194,1.254,0.208,20296.01
