recno,xpos,ypos,Vmag,e_Vmag,V-I,e_V-I,B-V,e_B-V,ID
120,575.506,408.792,20.964,0.039,0.884,0.05,0.517,0.045,1843.0
121,385.371,409.46,16.278,0.007,0.794,0.01,0.668,0.009,1848.0
122,783.036,410.118,20.726,0.015,0.827,0.029,0.635,0.023,1852.0
123,648.517,411.638,20.047,0.025,0.741,0.049,0.576,0.03,1856.0
124,606.524,411.138,18.653,0.012,1.392,0.016,1.193,0.02,1857.0
125,700.052,412.204,21.28,0.043,1.325,0.067,1.162,0.061,1860.0
126,626.023,413.7,20.372,0.025,0.791,0.037,0.477,0.036,1872.0
127,489.131,413.978,21.14,0.059,0.91,0.077,0.529,0.077,1875.0
128,641.037,415.334,20.884,0.027,0.817,0.04,0.496,0.037,1877.0
129,425.407,414.392,18.321,0.01,0.9,0.016,0.753,0.015,1878.0
130,746.827,415.619,21.098,0.031,0.847,0.052,0.597,0.041,1882.0
131,364.396,415.853,21.449,0.09,0.768,0.112,0.592,0.16,1884.0
132,482.071,416.217,19.841,0.015,0.768,0.023,0.551,0.022,1885.0
133,498.844,416.225,21.37,0.049,0.971,0.077,0.739,0.067,1886.0
134,531.702,416.987,20.206,0.02,0.785,0.028,0.505,0.024,1887.0
135,582.954,417.719,20.845,0.02,0.897,0.03,0.602,0.03,1893.0
136,473.41,421.918,20.527,0.028,0.769,0.04,0.452,0.035,1894.0
137,591.217,419.011,20.612,0.023,0.704,0.039,0.526,0.033,1898.0
138,774.34,419.353,20.655,0.017,0.761,0.031,0.507,0.023,1900.0
139,622.387,419.587,20.132,0.02,0.749,0.03,0.522,0.026,1901.0
140,630.075,421.029,20.201,0.015,0.72,0.026,0.524,0.021,1902.0
141,450.678,419.806,16.85,0.003,1.029,0.008,0.823,0.008,1903.0
142,509.078,421.89,19.786,0.022,0.706,0.032,0.554,0.028,1905.0
143,644.344,423.432,20.1,0.018,0.751,0.028,0.487,0.024,1907.0
144,461.379,421.42,21.667,0.056,0.933,0.107,0.963,0.095,1908.0
145,729.87,422.086,19.062,0.006,0.908,0.012,0.694,0.018,1909.0
146,370.826,422.148,17.917,0.005,0.964,0.01,0.72,0.008,1910.0
147,384.367,422.855,19.923,0.012,0.723,0.022,0.509,0.024,1912.0
148,689.669,427.464,19.11,0.007,0.904,0.011,0.532,0.044,1918.0
149,748.684,424.286,19.329,0.007,0.819,0.015,0.626,0.012,1921.0
150,481.296,424.947,20.635,0.032,0.791,0.047,0.57,0.047,1924.0
151,458.872,425.425,21.232,0.065,0.748,0.091,0.702,0.098,1926.0
152,423.065,428.344,21.122,0.041,0.819,0.066,0.61,0.061,1928.0
153,440.529,425.68,19.333,0.014,0.819,0.021,0.567,0.023,1930.0
154,413.881,425.607,19.662,0.018,0.761,0.027,0.554,0.024,1931.0
155,490.7,426.093,21.002,0.033,0.844,0.067,0.576,0.039,1934.0
156,780.416,427.267,21.534,0.037,0.84,0.058,0.532,0.051,1938.0
157,545.61,427.732,22.033,0.108,1.104,0.131,0.692,0.147,1940.0
158,728.305,428.171,17.037,0.004,0.149,0.008,0.055,0.006,1941.0
159,740.649,429.304,20.635,0.041,0.64,0.047,0.529,0.059,1943.0
160,476.428,428.832,20.57,0.025,0.826,0.062,0.594,0.032,1946.0
161,617.29,428.984,21.268,0.046,0.781,0.076,0.608,0.072,1947.0
162,593.041,429.298,21.171,0.044,0.732,0.055,0.561,0.064,1949.0
163,637.543,429.332,19.309,0.013,0.82,0.024,0.56,0.015,1950.0
164,772.478,430.531,20.308,0.042,0.634,0.047,0.659,0.044,1955.0
165,773.248,434.707,20.285,0.01,0.716,0.029,0.525,0.016,1956.0
166,533.979,429.965,20.091,0.018,0.701,0.026,0.44,0.024,1957.0
167,464.927,430.444,21.32,0.042,0.929,0.064,0.574,0.059,1962.0
168,400.184,430.914,16.866,0.004,0.201,0.008,0.111,0.006,1963.0
169,485.883,431.076,18.377,0.02,0.891,0.023,0.681,0.03,1965.0
170,539.435,434.534,20.102,0.035,0.718,0.053,0.513,0.044,1966.0
171,384.428,431.985,18.52,0.005,0.954,0.009,0.707,0.007,1971.0
172,459.202,432.289,19.967,0.03,0.76,0.04,0.428,0.04,1974.0
173,481.244,437.733,19.853,0.058,0.611,0.078,0.462,0.072,1975.0
174,576.873,432.848,20.556,0.072,0.743,0.122,0.485,0.098,1977.0
175,448.201,433.093,20.793,0.055,0.819,0.072,0.728,0.08,1979.0
176,607.101,433.473,20.639,0.028,0.788,0.057,0.587,0.038,1980.0
177,469.706,433.611,19.396,0.01,0.835,0.02,0.626,0.013,1981.0
178,623.137,434.042,20.425,0.028,0.694,0.04,0.496,0.038,1982.0
179,571.963,434.726,18.949,0.009,0.931,0.013,0.691,0.013,1985.0
180,596.974,435.423,19.209,0.01,0.883,0.016,0.611,0.027,1987.0
181,455.542,435.645,16.819,0.004,1.04,0.01,0.824,0.006,1989.0
182,717.172,435.795,20.647,0.021,0.713,0.037,0.51,0.027,1990.0
183,494.397,435.988,19.814,0.015,0.791,0.031,0.549,0.021,1992.0
184,488.056,436.793,21.159,0.045,1.018,0.054,0.766,0.069,1997.0
185,636.877,437.126,19.477,0.015,0.893,0.021,0.6,0.02,1998.0
186,746.293,437.558,21.293,0.034,0.892,0.05,0.65,0.042,2000.0
187,370.003,437.778,22.025,0.097,1.041,0.121,0.399,0.123,2001.0
188,721.589,437.959,20.831,0.022,0.796,0.035,0.55,0.028,2003.0
189,605.363,440.106,21.244,0.036,0.894,0.061,0.623,0.048,2011.0
190,657.994,440.99,17.718,0.008,0.974,0.012,0.784,0.011,2012.0
