No,Xpos,Ypos,Vmag,V-I
311,745.03,465.39,19.329,2.279
312,531.51,467.04,20.667,3.076
313,459.12,468.85,19.417,3.098
314,1014.99,469.4,18.782,2.152
315,740.64,470.17,20.094,3.116
316,319.72,470.95,22.584,3.212
317,382.33,472.92,21.017,3.211
318,950.93,474.05,21.246,3.384
319,578.97,475.46,20.877,3.314
320,92.48,475.53,20.267,3.136
321,342.47,478.04,20.456,3.056
322,406.96,478.52,18.067,3.899
323,298.61,478.55,22.369,3.125
324,531.28,481.49,19.475,3.257
325,467.1,481.56,19.729,3.076
326,419.82,481.73,20.126,2.997
327,263.48,484.38,20.778,2.435
328,514.43,486.05,21.546,3.078
329,559.82,486.9,20.237,2.993
330,103.24,487.4,19.885,3.876
331,416.84,488.6,19.807,3.021
332,113.29,488.79,20.64,3.026
333,493.63,489.87,20.911,2.989
334,724.27,492.32,20.503,2.994
335,329.85,492.99,18.212,3.753
336,118.82,493.81,19.968,2.448
337,448.42,496.3,20.533,2.115
338,179.88,502.21,15.447,1.143
339,516.05,503.51,20.438,2.991
340,784.13,506.12,20.953,3.213
341,432.14,506.45,18.409,3.014
342,393.95,511.1,20.959,3.188
343,281.42,512.02,21.227,3.3
344,586.02,513.72,21.022,3.079
345,156.95,513.91,20.454,2.973
346,533.17,514.68,22.285,2.911
347,549.59,515.67,20.35,2.898
348,498.06,517.0,21.488,3.254
349,964.59,522.15,20.148,4.908
350,485.52,522.86,21.585,2.865
351,619.26,523.32,17.964,4.079
352,538.74,523.58,20.329,3.18
353,369.18,524.57,18.427,3.505
354,131.49,524.84,23.211,2.983
355,526.44,529.41,21.11,3.368
356,533.78,530.72,21.465,3.113
357,826.87,531.22,20.916,3.247
358,483.63,531.76,21.264,2.769
359,576.72,532.02,18.963,2.194
360,600.64,532.54,20.94,3.184
361,228.21,532.6,21.019,3.286
362,69.78,533.33,19.645,3.281
363,967.84,534.27,20.552,3.133
364,359.15,534.43,19.355,3.377
365,453.26,537.25,18.845,3.139
366,806.02,537.72,18.739,3.495
367,334.47,539.18,20.721,2.554
368,542.68,539.62,20.822,3.109
369,457.88,542.09,18.709,3.321
370,608.61,544.72,20.884,3.161
371,439.85,547.27,19.434,3.207
372,334.56,547.79,21.215,3.247
373,827.6,547.97,20.589,4.039
374,838.83,548.89,21.265,3.313
375,71.36,548.98,19.524,2.143
376,998.06,549.58,20.665,3.08
377,958.59,550.21,21.017,3.346
378,481.21,551.94,20.747,2.189
379,229.94,553.72,19.888,3.1
380,711.72,554.85,18.611,3.489
381,445.01,555.59,20.042,2.944
382,219.93,556.17,21.544,3.066
383,871.26,558.65,22.512,3.2
384,395.95,560.33,19.786,3.284
385,214.29,564.62,20.387,2.925
386,364.15,564.84,19.592,2.955
387,964.56,568.79,22.305,2.967
388,296.44,570.28,20.263,2.918
389,41.46,571.14,20.228,3.466
390,848.23,571.64,21.662,3.213
391,822.67,572.4,15.821,1.182
392,370.57,572.77,19.762,3.079
393,8.21,572.85,21.726,2.923
394,288.51,573.42,20.636,3.03
395,104.78,574.33,22.751,2.834
396,317.1,574.75,17.902,3.807
397,384.72,575.37,20.261,2.924
398,919.47,575.8,22.218,2.86
399,443.58,577.32,20.239,2.864
400,156.42,578.29,20.396,3.211
401,707.84,578.48,20.415,3.027
402,657.03,578.73,20.379,3.026
